sample,S1,S2,S3
CLL_01,170,8,28
CLL_02,89,3,24
CLL_03,296,0,64
CLL_04,102,25,59
CLL_05,121,35,25
CLL_06,130,14,9
CLL_07,157,32,2
CLL_08,145,1,45
CLL_09,182,69,0
CLL_10,90,73,10
CLL_11,96,56,0
CLL_12,228,57,31
CLL_13,139,3,26
CLL_14,160,88,19
CLL_15,211,6,24
CLL_16,153,0,64
CLL_17,154,12,3
CLL_18,152,0,0
CLL_19,194,158,4
CLL_20,97,17,3
CLL_21,115,10,5
CLL_22,38,184,18
CLL_23,75,15,0
CLL_24,80,26,67
CLL_277,46,65,0
CLL_86,17,38,7
CLL_93,31,29,12
FL_0144_BM,101,15,86
FL_0144_LN,37,46,87
FL_01_1,131,0,74
FL_01_2,129,27,93
FL_01_3,133,37,121
FL_01_4,128,6,151
FL_02_1,18,49,111
FL_02_2,43,0,166
FL_02_3,82,0,281
FL_02_4,58,0,130
FL_02_5,10,0,277
FL_02_6,17,0,323
FL_02_7,0,72,278
FL_02_8,8,58,344
FL_02_9,15,94,337
FL_03_1,40,110,23
FL_03_2,72,150,56
FL_03_3,82,0,281
FL_04_1,53,72,14
FL_04_2,98,152,69
FL_04_3,0,309,56
FL_04_4,17,231,55
FL_05_1,0,213,0
FL_05_2,0,201,20
FL_05_3,0,309,0
FL_05_4,0,287,51
FL_10000_LN,72,61,16
FL_10971_LN,82,264,53
FL_11770_LN,45,110,75
FL_12118_LN,60,218,97
FL_12282_LN,42,248,123
FL_8934_LN,34,92,117
FL_8934_PBL,62,84,64
MBL_59,21,70,13
MBL_86,19,62,40
MBL_93,30,50,29
